,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,BIS_1,BIS_2,BIS_3,BIS_4,BIS_5,BIS_6,BIS_7,BIS_8,BIS_9,BIS_10,BIS_11,BIS_12,BIS_13,BIS_14A,BIS_14,BIS_15,BIS_16,BIS_17,BIS_18,BIS_19,BIS_20,BIS_22,BIS_22A,BIS_23,BIS_21,CREATED_DATE,UPDATED_DATE
687,2021-12-31,,Y,SCB,N,12,47233808000000.0,-38150598000000.0,9083210000000.0,3877209000000.0,-1201846000000.0,2675363000000.0,328146000000.0,9566000000.0,1675168000000.0,651067000000.0,-40189000000.0,610878000000.0,5076000000.0,14387407000000.0,-5646973000000.0,8740434000000.0,-7306312000000.0,1434122000000.0,-294202000000.0,-283125000000.0,-11077000000.0,0.0,1139920000000.0,0.0,1139920000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
688,2021-12-31,2022-03-16,Q,SCB,N,0,11826408000000.0,-9389764000000.0,2436644000000.0,1127725000000.0,-414985000000.0,712740000000.0,66145000000.0,-3557000000.0,-35641000000.0,5840000000.0,-19362000000.0,-13522000000.0,850000000.0,3163659000000.0,-1943129000000.0,1220530000000.0,-570293000000.0,650237000000.0,-175420000000.0,5340000000.0,-180760000000.0,0.0,469477000000.0,0.0,469477000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
689,2022-06-30,,Q,BAB,Y,3,2446447000000.0,-1943916000000.0,502531000000.0,26599000000.0,-7166000000.0,19433000000.0,3871000000.0,0.0,4505000000.0,53548000000.0,-36765000000.0,16783000000.0,0.0,547123000000.0,-315848000000.0,231275000000.0,-46000000000.0,185275000000.0,-37146000000.0,-37145000000.0,-1000000.0,0.0,148129000000.0,458.0,148129000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
690,2023-03-31,2023-04-28,Q,SHB,N,0,15158476000000.0,-9314565000000.0,5843911000000.0,308594000000.0,-86270000000.0,222324000000.0,64831000000.0,0.0,988000000.0,85883000000.0,-15931000000.0,69952000000.0,1667000000.0,6203673000000.0,-1209770000000.0,4993903000000.0,-1373956000000.0,3619947000000.0,-738779000000.0,0.0,-738779000000.0,0.0,2881168000000.0,0.0,2881168000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
691,2023-03-31,2023-04-28,Q,CTG,N,0,32760300000000.0,-20094129000000.0,12666171000000.0,3341451000000.0,-1340780000000.0,2000671000000.0,1172650000000.0,28015000000.0,14889000000.0,1205592000000.0,-185634000000.0,1019958000000.0,115691000000.0,17018045000000.0,-4313889000000.0,12704156000000.0,-6723821000000.0,5980335000000.0,-1149134000000.0,0.0,-1149134000000.0,24824000000.0,4806377000000.0,0.0,4831201000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
692,2023-06-30,,Q,BAB,Y,3,3404277000000.0,-2763403000000.0,640874000000.0,29407000000.0,-6887000000.0,22520000000.0,26519000000.0,0.0,20624000000.0,11221000000.0,-4157000000.0,7064000000.0,0.0,717601000000.0,-545448000000.0,172153000000.0,-33160000000.0,138993000000.0,-27775000000.0,-27775000000.0,0.0,0.0,111218000000.0,0.0,111218000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
693,2023-06-30,,Q,TIN,Y,3,321622794007.0,-101915484603.0,219707309404.0,10479685792.0,-5876527672.0,4603158120.0,3229518.0,0.0,0.0,31016148629.0,-7868503078.0,23147645551.0,0.0,247461342593.0,-137620631526.0,109840711067.0,-237764603407.0,-127923892340.0,11110915120.0,11110915120.0,0.0,0.0,-116812977220.0,-1716.0,-116812977220.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
694,2023-06-30,,Q,SGB,Y,3,627433000000.0,-386859000000.0,240574000000.0,16300000000.0,-6572000000.0,9728000000.0,6103000000.0,0.0,0.0,11872000000.0,-2503000000.0,9369000000.0,17000000.0,265791000000.0,-133691000000.0,132100000000.0,-53569000000.0,78531000000.0,-30613000000.0,-30613000000.0,0.0,0.0,47918000000.0,479.0,47918000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
695,2023-06-30,,Q,TPB,Y,3,7195561000000.0,-4466534000000.0,2729027000000.0,1003749000000.0,-200140000000.0,803609000000.0,162589000000.0,0.0,237697000000.0,169226000000.0,-184969000000.0,-15743000000.0,0.0,3917179000000.0,-1930622000000.0,1986557000000.0,-368120000000.0,1618437000000.0,-325332000000.0,-325332000000.0,0.0,0.0,1293105000000.0,0.0,1293105000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
696,2023-06-30,,Q,EVF,Y,3,924252000000.0,-864883000000.0,59369000000.0,21112000000.0,-6885000000.0,14227000000.0,-6463000000.0,0.0,315962000000.0,44363000000.0,-121000000.0,44242000000.0,2175000000.0,429512000000.0,-129123000000.0,300389000000.0,-207137000000.0,93252000000.0,-18516000000.0,-18516000000.0,0.0,0.0,74736000000.0,207.0,74736000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
