,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,SCFD_1_1,SCFD_1_2,SCFD_1,SCFD_2,SCFD_3,SCFD_4,SCFD_5,SCFD_6,SCFD_7,SCFD_7_1,SCFD_7_2,SCFD_7_3,SCFD_7_4,SCFD_7_5,SCFD_8,SCFD_9,SCFD_10,SCFD_11,SCFD_12,SCFD_20,SCFD_21,SCFD_22,SCFD_22_1,SCFD_22_2,SCFD_22_3,SCFD_22_4,SCFD_25,SCFD_30,SCFD_31,SCFD_32,SCFD_33,SCFD_33_1,SCFD_33_2,SCFD_34,SCFD_34_1,SCFD_34_2,SCFD_34_3,SCFD_35,SCFD_36,SCFD_36_1,SCFD_40,SCFD_50,SCFD_60,SCFD_61,SCFD_61_1,SCFD_62,SCFD_63,SCFD_70,SCFD_71,SCFD_71_1,SCFD_72,SCFD_73,SCFD_1A,SCFD_2A,SCFD_3A,SCFD_4A,SCFD_4_1A,SCFD_4_2A,SCFD_5A,SCFD_6A,SCFD_7A,SCFD_8A,SCFD_9A,SCFD_10A,SCFD_11A,SCFD_12A,SCFD_13A,SCFD_20A,SCFD_30A,SCFD_31A,SCFD_32A,SCFD_32_1A,SCFD_32_2A,SCFD_32_3A,SCFD_33A,SCFD_34A,SCFD_35A,SCFD_35_1A,SCFD_36A,SCFD_37A,SCFD_40A,SCFD_41A,SCFD_42A,SCFD_42_1A,SCFD_42_2A,SCFD_42_3A,SCFD_43A,SCFD_44A,SCFD_45A,SCFD_45_1A,SCFD_46A,SCFD_47A,CREATED_DATE,UPDATED_DATE
10,2021-12-31,,Y,SBS,N,12,0.0,0.0,-49086203780.0,30880224700.0,0.0,0.0,2433259165.0,0.0,-44170619646.0,0.0,0.0,0.0,0.0,0.0,-16164941550.0,-50169034706.0,0.0,1013303629273.0,-890809026089.0,-3782712633.0,-302545000.0,0.0,0.0,0.0,0.0,0.0,0.0,-302545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4085257633.0,44309357224.0,44309357224.0,0.0,0.0,0.0,40224099591.0,40224099591.0,0.0,0.0,0.0,58339530643450.0,-58654964205886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315433562436.0,949104160203.0,949104160203.0,806463716449.0,0.0,0.0,0.0,142640443754.0,0.0,0.0,0.0,0.0,0.0,633670597767.0,633670597767.0,408125798113.0,0.0,0.0,0.0,0.0,225544799654.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
11,2021-12-31,,Q,SBS,N,3,0.0,0.0,-20246355000.0,13469870000.0,0.0,0.0,21792108.0,0.0,-10677148890.0,0.0,0.0,0.0,0.0,0.0,-3584730669.0,0.0,0.0,295808866469.0,-227848705819.0,34418198881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34418198881.0,5805900710.0,5805900710.0,0.0,0.0,0.0,40224099591.0,40224099591.0,0.0,0.0,0.0,15186721552087.0,-15215331726874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28610174787.0,662280772554.0,662280772554.0,519194627500.0,0.0,0.0,0.0,143086145054.0,0.0,0.0,0.0,0.0,0.0,633670597767.0,633670597767.0,408125798113.0,0.0,0.0,0.0,0.0,225544799654.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
12,2022-03-31,,Q,APSC,N,3,0.0,0.0,-639760000.0,1277820000.0,-323193991.0,7200.0,184220421.0,-604410958.0,-1041361374.0,0.0,0.0,0.0,0.0,0.0,-2588029343.0,0.0,0.0,61659944751.0,-32042940840.0,20443418234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20443418234.0,137951114697.0,137951114697.0,0.0,0.0,0.0,158394532931.0,158394532931.0,0.0,0.0,0.0,1225313712134.0,-1251071012725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25757300591.0,117421497922.0,117421497922.0,117421497922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91664197331.0,91664197331.0,91664197331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
13,2022-03-31,,Q,ASIAS,N,3,0.0,0.0,5880105288.0,-219048573.0,55770500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274819073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21564057785.0,91550652981.0,0.0,-102389353074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191263658.0,0.0,-1117017917.0,36571419399.0,27225114500.0,-14815960299.0,0.0,0.0,0.0,-14815960299.0,0.0,0.0,0.0,0.0,41250000000.0,-162440100000.0,0.0,0.0,0.0,0.0,0.0,0.0,4614112392297.0,-4463877933783.0,0.0,0.0,0.0,0.0,0.0,29044358514.0,38940702136.0,38940702136.0,5221040.0,0.0,0.0,0.0,0.0,0.0,38935481096.0,0.0,0.0,0.0,67985060650.0,67985060650.0,67985060650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
14,2020-03-31,,Q,VNSC,N,3,0.0,0.0,-207303680235.0,197140000000.0,0.0,6487953972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4848873365.0,0.0,0.0,10093312032.0,-6453690217.0,-5947832036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5947832036.0,6842425871.0,6842425871.0,0.0,0.0,0.0,894593835.0,894593835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
15,2020-09-30,,Q,VNSC,N,3,0.0,0.0,-22562551233.0,22310214419.0,0.0,0.0,571835245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2858426875.0,0.0,0.0,7110849500.0,-4302259526.0,-588983027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-588983027.0,2478543221.0,2476332627.0,0.0,0.0,2210594.0,1889560194.0,1889560194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
16,2021-06-30,,Q,HVSC,N,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-445500.0,-22445500.0,0.0,0.0,0.0,0.0,0.0,0.0,284634.0,284634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22160866.0,10574411414.0,574411414.0,0.0,10000000000.0,0.0,10552250548.0,552250548.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
17,2021-06-30,,Q,LVSC,N,3,0.0,0.0,-75536155000.0,71104010000.0,0.0,0.0,3319958897.0,0.0,-571848669.0,0.0,0.0,0.0,0.0,0.0,-1769704891.0,0.0,-182872448.0,139408875.0,-90927273.0,-3692887762.0,-64372000.0,0.0,0.0,0.0,0.0,0.0,0.0,-64372000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3757259762.0,85691776176.0,41691776176.0,0.0,44000000000.0,0.0,81934516414.0,37934516414.0,0.0,44000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35513744.0,0.0,-53202996.0,0.0,0.0,156598.0,0.0,-17532654.0,648474753.0,648474753.0,637048493.0,0.0,0.0,0.0,0.0,0.0,11426260.0,0.0,0.0,0.0,630942099.0,630942099.0,619515839.0,0.0,0.0,0.0,0.0,0.0,11426260.0,0.0,0.0,0.0,2024-10-16 23:35:35.642979,2024-10-16 23:35:35.642979
18,2023-06-30,2023-11-18,S,ART,Y,0,,,-28820780294.0,10588853039.0,-277082607.0,865300.0,1133207684.0,,-3852353088.0,,,,,,-4154593553.0,-543653854.0,,2376309392.0,-3830952512.0,-27380180493.0,,,,,,,,,,,,,,,,,,,,,,-27380180493.0,61707736350.0,61707736350.0,,,,34327555857.0,,,,,75644916641.0,-129085861841.0,,,,,,,67318678585.0,-56314094.0,,,,,,13821419291.0,49020759667.0,49020759667.0,47861086397.0,,,,1159673270.0,,,,,,62842178958.0,62842178958.0,58712967623.0,,,,,4129211335.0,,,,,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
19,2023-06-30,2023-08-03,S,VISC,Y,0,,,-2316076882455.0,2353238757195.0,-1703096646.0,1124000.0,7099188274.0,-937014792.0,-7774132578.0,,,,,,-5323533754.0,-11759067140.0,,775462703381.0,-753820223977.0,38407821508.0,-588134000.0,,,,,,,-588134000.0,,,457300000000.0,,457300000000.0,-472300000000.0,,,-472300000000.0,,,,-15000000000.0,22819687508.0,49810662771.0,49810662771.0,,,,72630350279.0,72630350279.0,,,,3665683904500.0,-4900167653591.0,,,,,,,1208109092522.0,,,,,10724978810.0,-10718196095.0,-26367873854.0,197451575754.0,197451575754.0,155184989304.0,,,,,42266586450.0,,,,,171083701900.0,171083701900.0,131285201195.0,,,,39791717990.0,,6782715.0,,,,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
20,2022-12-31,2023-03-03,S,VISC,Y,0,,,-11894475798920.0,11830948609862.0,-2258527792.0,680700.0,22538057309.0,-4846098629.0,-29881597567.0,,,,,,-10161208625.0,-49617032168.0,,3144075272715.0,-2965077547596.0,41244809289.0,-934903000.0,47727272.0,,,,,,-887175728.0,,,440000000000.0,,440000000000.0,-435000000000.0,,,-435000000000.0,,,,5000000000.0,45357633561.0,4453029210.0,4453029210.0,,,,49810662771.0,49810662771.0,,,,10126592539400.0,-17164230339095.0,,,,,,,6979495783827.0,,,,,142638647109.0,-142836753459.0,-58340122218.0,255791697972.0,255791697972.0,134953102322.0,,,,,120640489300.0,198106350.0,,,,197451575754.0,197451575754.0,155184989304.0,,,,42266586450.0,,,,,,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
21,2022-06-30,2022-08-12,S,DASC,Y,0,,,-2566385034606.0,2597903604341.0,-1731913651.0,69655500.0,7800801042.0,0.0,-7276801556.0,0.0,0.0,0.0,0.0,0.0,-7490464809.0,-9265242418.0,-9156531.0,25265794697.0,-4696245236.0,34184996773.0,-1908360000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1908360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32276636773.0,17449222714.0,14449222714.0,,3000000000.0,0.0,49725859487.0,6725859487.0,,43000000000.0,0.0,2416695455196.0,-4108987915595.0,0.0,0.0,,,0.0,0.0,1433421093910.0,0.0,-239397413.0,0.0,0.0,478921718.0,-280809613.0,-258912651797.0,453499979999.0,453499979999.0,0.0,0.0,,,2123270.0,181647819831.0,1149798086.0,0.0,0.0,0.0,194587328202.0,194587328202.0,156457619283.0,0.0,,,36779794916.0,2003812.0,1347910191.0,0.0,0.0,0.0,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
22,2022-06-30,2022-08-09,S,VISC,Y,0,,,-6970519815706.0,6965685359760.0,-2258527792.0,385500.0,13874898933.0,-1878575343.0,-23322526695.0,,,,,,-6119704180.0,-21544894905.0,,2208233382054.0,-2169821074619.0,-7671092993.0,-146715000.0,,,,,,,-146715000.0,,,180000000000.0,,180000000000.0,-170000000000.0,,,-170000000000.0,,,,10000000000.0,2182192007.0,4453029210.0,4453029210.0,,,,6635221217.0,6635221217.0,,,,7256882799300.0,-11810848519085.0,,,,,,,4465428654027.0,,,,,38931241526.0,-39115195536.0,-88721019768.0,255791697972.0,255791697972.0,134953102322.0,,,,,120640489300.0,198106350.0,,,,167070678204.0,167070678204.0,93659997864.0,,,,73396528000.0,,14152340.0,,,,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
23,2021-06-30,2021-08-16,S,DAS,Y,0,,,-2857192739744.0,2786471758182.0,-2822470.0,151115908.0,5469241937.0,,-3394043874.0,,,,,,-7605172260.0,-6177715295.0,-277649959.0,16503570335.0,-404465787.0,-66458923027.0,-10500000.0,,,,,,,-10500000.0,,,,,,,,,,,,,,-66469423027.0,83765938770.0,8265938770.0,,75500000000.0,,17296515743.0,1796515743.0,,15500000000.0,,2699996811800.0,-4553508294878.0,,,,,,,2018708911279.0,,-262066703.0,,,4198208265.0,-3986971060.0,165146598703.0,281319542706.0,281319542706.0,161954200108.0,,,,118170807052.0,2118895.0,1192416651.0,,,,446466141409.0,446466141409.0,316142833911.0,,,,128917526511.0,2127131.0,1403653856.0,,,,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
24,2021-06-30,2021-08-09,S,VISC,Y,0,,,-6471623664743.0,6459453709528.0,-239286956.0,132605916.0,5269887774.0,-1247691205.0,-5582443395.0,,,,,,-5042608694.0,-29299369649.0,,1491819362022.0,-1491289308265.0,-47648807667.0,,2236364.0,,,,,,2236364.0,,,117600000000.0,,117600000000.0,-74600000000.0,,,-74600000000.0,,,,43000000000.0,-4646571303.0,7967221474.0,7967221474.0,,,,3320650171.0,3320650171.0,,,,6294994024700.0,-10061434320088.0,,,,,,,3862653855265.0,,,,,10718782793.0,-10740300293.0,96192042377.0,112493044160.0,112493044160.0,71047684960.0,,,,,41398951700.0,46407500.0,,,,208685086537.0,208685086537.0,119890404537.0,,,,88769792000.0,,24890000.0,,,,2024-10-16 23:27:57.341835,2025-06-06 16:24:46.987946
