Entity,Symbol,Metric_Code,Prefix,Q2_2025_Has,Q3_2025_Has
BANK,CTG,BNOT_28_2,BNOT,Yes,No
BANK,CTG,BNOT_29,BNOT,Yes,No
BANK,CTG,BNOT_29_1,BNOT,Yes,No
BANK,CTG,BNOT_29_2,BNOT,Yes,No
BANK,CTG,BNOT_29_3,BNOT,Yes,No
BANK,CTG,BNOT_29_3_1,BNOT,Yes,No
BANK,CTG,BNOT_29_3_2,BNOT,Yes,No
BANK,CTG,BNOT_29_3_3,BNOT,Yes,No
BANK,CTG,BNOT_29_4,BNOT,Yes,No
BANK,CTG,BNOT_2_1,BNOT,Yes,No
BANK,CTG,BNOT_2_1_1,BNOT,Yes,No
BANK,CTG,BNOT_2_1_2,BNOT,Yes,No
BANK,CTG,BNOT_2_2,BNOT,Yes,No
BANK,CTG,BNOT_2_3,BNOT,Yes,No
BANK,CTG,BNOT_3,BNOT,Yes,No
BANK,CTG,BNOT_30,BNOT,Yes,No
BANK,CTG,BNOT_30_1,BNOT,Yes,No
BANK,CTG,BNOT_30_1_1,BNOT,Yes,No
BANK,CTG,BNOT_30_1_2,BNOT,Yes,No
BANK,CTG,BNOT_30_1_3,BNOT,Yes,No
BANK,CTG,BNOT_30_1_4,BNOT,Yes,No
BANK,CTG,BNOT_30_2,BNOT,Yes,No
BANK,CTG,BNOT_30_2_1,BNOT,Yes,No
BANK,CTG,BNOT_30_2_2,BNOT,Yes,No
BANK,CTG,BNOT_31_4,BNOT,Yes,No
BANK,CTG,BNOT_31_6,BNOT,Yes,No
BANK,CTG,BNOT_32_4,BNOT,Yes,No
BANK,CTG,BNOT_33_1,BNOT,Yes,No
BANK,CTG,BNOT_33_2,BNOT,Yes,No
BANK,CTG,BNOT_34_3,BNOT,Yes,No
BANK,CTG,BNOT_35_3,BNOT,Yes,No
BANK,CTG,BNOT_36,BNOT,Yes,No
BANK,CTG,BNOT_36_1,BNOT,Yes,No
BANK,CTG,BNOT_36_1_1,BNOT,Yes,No
BANK,CTG,BNOT_36_1_2,BNOT,Yes,No
BANK,CTG,BNOT_36_1_3,BNOT,Yes,No
BANK,CTG,BNOT_36_2,BNOT,Yes,No
BANK,CTG,BNOT_36_3,BNOT,Yes,No
BANK,CTG,BNOT_37_4_1,BNOT,Yes,No
BANK,CTG,BNOT_37_4_2,BNOT,Yes,No
BANK,CTG,BNOT_38,BNOT,Yes,No
BANK,CTG,BNOT_38_1,BNOT,Yes,No
BANK,CTG,BNOT_38_2,BNOT,Yes,No
BANK,CTG,BNOT_39,BNOT,Yes,No
BANK,CTG,BNOT_39_1,BNOT,Yes,No
BANK,CTG,BNOT_39_2,BNOT,Yes,No
BANK,CTG,BNOT_39_3,BNOT,Yes,No
BANK,CTG,BNOT_39_4,BNOT,Yes,No
BANK,CTG,BNOT_39_5,BNOT,Yes,No
BANK,CTG,BNOT_3_1,BNOT,Yes,No
BANK,CTG,BNOT_3_1_1,BNOT,Yes,No
BANK,CTG,BNOT_3_1_1_1,BNOT,Yes,No
BANK,CTG,BNOT_3_1_1_2,BNOT,Yes,No
BANK,CTG,BNOT_3_1_2,BNOT,Yes,No
BANK,CTG,BNOT_3_1_2_1,BNOT,Yes,No
BANK,CTG,BNOT_3_1_2_2,BNOT,Yes,No
BANK,CTG,BNOT_3_1_2_3,BNOT,Yes,No
BANK,CTG,BNOT_3_2,BNOT,Yes,No
BANK,CTG,BNOT_3_2_1,BNOT,Yes,No
BANK,CTG,BNOT_3_2_1_1,BNOT,Yes,No
BANK,CTG,BNOT_3_2_2,BNOT,Yes,No
BANK,CTG,BNOT_3_2_2_1,BNOT,Yes,No
BANK,CTG,BNOT_3_2_3,BNOT,Yes,No
BANK,CTG,BNOT_40,BNOT,Yes,No
BANK,CTG,BNOT_40_1,BNOT,Yes,No
BANK,CTG,BNOT_40_2,BNOT,Yes,No
BANK,CTG,BNOT_40_3,BNOT,Yes,No
BANK,CTG,BNOT_40_4,BNOT,Yes,No
BANK,CTG,BNOT_40_5,BNOT,Yes,No
BANK,CTG,BNOT_40_6,BNOT,Yes,No
BANK,CTG,BNOT_40_7,BNOT,Yes,No
BANK,CTG,BNOT_40_8,BNOT,Yes,No
BANK,CTG,BNOT_41,BNOT,Yes,No
BANK,CTG,BNOT_41_1,BNOT,Yes,No
BANK,CTG,BNOT_41_2,BNOT,Yes,No
BANK,CTG,BNOT_41_3,BNOT,Yes,No
BANK,CTG,BNOT_42,BNOT,Yes,No
BANK,CTG,BNOT_42_1,BNOT,Yes,No
BANK,CTG,BNOT_42_2,BNOT,Yes,No
BANK,CTG,BNOT_42_3,BNOT,Yes,No
BANK,CTG,BNOT_42_4,BNOT,Yes,No
BANK,CTG,BNOT_42_5,BNOT,Yes,No
BANK,CTG,BNOT_42_6,BNOT,Yes,No
BANK,CTG,BNOT_42_7,BNOT,Yes,No
BANK,CTG,BNOT_46_3,BNOT,Yes,No
BANK,CTG,BNOT_46_4,BNOT,Yes,No
BANK,CTG,BNOT_46_5,BNOT,Yes,No
BANK,CTG,BNOT_46_6,BNOT,Yes,No
BANK,CTG,BNOT_46_7,BNOT,Yes,No
BANK,CTG,BNOT_47_1,BNOT,Yes,No
BANK,CTG,BNOT_47_2,BNOT,Yes,No
BANK,CTG,BNOT_47_3,BNOT,Yes,No
BANK,CTG,BNOT_47_4,BNOT,Yes,No
BANK,CTG,BNOT_47_5,BNOT,Yes,No
BANK,CTG,BNOT_47_6,BNOT,Yes,No
BANK,CTG,BNOT_47_7,BNOT,Yes,No
BANK,CTG,BNOT_48_10,BNOT,Yes,No
BANK,CTG,BNOT_48_11,BNOT,Yes,No
BANK,CTG,BNOT_48_12,BNOT,Yes,No
BANK,CTG,BNOT_48_3,BNOT,Yes,No
BANK,CTG,BNOT_48_4,BNOT,Yes,No
BANK,CTG,BNOT_48_5,BNOT,Yes,No
BANK,CTG,BNOT_48_6,BNOT,Yes,No
BANK,CTG,BNOT_48_7,BNOT,Yes,No
BANK,CTG,BNOT_48_8,BNOT,Yes,No
BANK,CTG,BNOT_48_9,BNOT,Yes,No
BANK,VPB,BBS_300,BBS,Yes,No
BANK,VPB,BBS_500,BBS,Yes,No
BANK,VPB,BBS_9001,BBS,Yes,No
BANK,VPB,BBS_920,BBS,Yes,No
BANK,VPB,BNOT_1,BNOT,Yes,No
BANK,VPB,BNOT_12_3,BNOT,Yes,No
BANK,VPB,BNOT_13_1_3,BNOT,Yes,No
BANK,VPB,BNOT_13_3_1,BNOT,Yes,No
BANK,VPB,BNOT_14,BNOT,Yes,No
BANK,VPB,BNOT_14_1,BNOT,Yes,No
BANK,VPB,BNOT_14_2,BNOT,Yes,No
BANK,VPB,BNOT_14_3,BNOT,Yes,No
BANK,VPB,BNOT_14_4,BNOT,Yes,No
BANK,VPB,BNOT_14_5,BNOT,Yes,No
BANK,VPB,BNOT_15,BNOT,Yes,No
BANK,VPB,BNOT_15_1,BNOT,Yes,No
BANK,VPB,BNOT_15_2,BNOT,Yes,No
BANK,VPB,BNOT_15_3,BNOT,Yes,No
BANK,VPB,BNOT_15_4,BNOT,Yes,No
BANK,VPB,BNOT_15_5,BNOT,Yes,No
BANK,VPB,BNOT_16,BNOT,Yes,No
BANK,VPB,BNOT_16_1,BNOT,Yes,No
BANK,VPB,BNOT_16_2,BNOT,Yes,No
BANK,VPB,BNOT_16_3,BNOT,Yes,No
BANK,VPB,BNOT_17,BNOT,Yes,No
BANK,VPB,BNOT_17_1,BNOT,Yes,No
BANK,VPB,BNOT_17_2,BNOT,Yes,No
BANK,VPB,BNOT_17_3,BNOT,Yes,No
BANK,VPB,BNOT_18,BNOT,Yes,No
BANK,VPB,BNOT_18_1,BNOT,Yes,No
BANK,VPB,BNOT_18_2,BNOT,Yes,No
BANK,VPB,BNOT_18_3,BNOT,Yes,No
BANK,VPB,BNOT_19,BNOT,Yes,No
BANK,VPB,BNOT_19_1,BNOT,Yes,No
BANK,VPB,BNOT_19_2,BNOT,Yes,No
BANK,VPB,BNOT_19_3,BNOT,Yes,No
BANK,VPB,BNOT_1_1,BNOT,Yes,No
BANK,VPB,BNOT_1_2,BNOT,Yes,No
BANK,VPB,BNOT_1_3,BNOT,Yes,No
BANK,VPB,BNOT_1_4,BNOT,Yes,No
BANK,VPB,BNOT_1_5,BNOT,Yes,No
BANK,VPB,BNOT_1_6,BNOT,Yes,No
BANK,VPB,BNOT_2,BNOT,Yes,No
BANK,VPB,BNOT_20,BNOT,Yes,No
BANK,VPB,BNOT_20_1,BNOT,Yes,No
BANK,VPB,BNOT_20_2,BNOT,Yes,No
BANK,VPB,BNOT_20_3,BNOT,Yes,No
BANK,VPB,BNOT_21,BNOT,Yes,No
BANK,VPB,BNOT_21_1,BNOT,Yes,No
BANK,VPB,BNOT_21_2,BNOT,Yes,No
BANK,VPB,BNOT_21_3,BNOT,Yes,No
BANK,VPB,BNOT_22,BNOT,Yes,No
BANK,VPB,BNOT_22_1,BNOT,Yes,No
BANK,VPB,BNOT_22_2,BNOT,Yes,No
BANK,VPB,BNOT_22_3,BNOT,Yes,No
BANK,VPB,BNOT_22_4,BNOT,Yes,No
BANK,VPB,BNOT_23,BNOT,Yes,No
BANK,VPB,BNOT_23_1,BNOT,Yes,No
BANK,VPB,BNOT_23_2,BNOT,Yes,No
BANK,VPB,BNOT_23_3,BNOT,Yes,No
BANK,VPB,BNOT_24,BNOT,Yes,No
BANK,VPB,BNOT_24_1,BNOT,Yes,No
BANK,VPB,BNOT_24_1_1,BNOT,Yes,No
BANK,VPB,BNOT_24_1_2,BNOT,Yes,No
BANK,VPB,BNOT_24_1_3,BNOT,Yes,No
BANK,VPB,BNOT_24_1_4,BNOT,Yes,No
BANK,VPB,BNOT_24_1_5,BNOT,Yes,No
BANK,VPB,BNOT_24_1_6,BNOT,Yes,No
BANK,VPB,BNOT_24_1_7,BNOT,Yes,No
BANK,VPB,BNOT_24_2,BNOT,Yes,No
BANK,VPB,BNOT_24_2_1,BNOT,Yes,No
BANK,VPB,BNOT_24_2_2,BNOT,Yes,No
BANK,VPB,BNOT_24_2_3,BNOT,Yes,No
BANK,VPB,BNOT_25,BNOT,Yes,No
BANK,VPB,BNOT_25_1,BNOT,Yes,No
BANK,VPB,BNOT_25_1_1,BNOT,Yes,No
BANK,VPB,BNOT_25_1_1_1,BNOT,Yes,No
BANK,VPB,BNOT_25_1_1_2,BNOT,Yes,No
BANK,VPB,BNOT_25_1_2,BNOT,Yes,No
BANK,VPB,BNOT_25_1_2_1,BNOT,Yes,No
BANK,VPB,BNOT_25_1_2_2,BNOT,Yes,No
BANK,VPB,BNOT_25_2,BNOT,Yes,No
BANK,VPB,BNOT_25_2_1,BNOT,Yes,No
BANK,VPB,BNOT_25_2_1_1,BNOT,Yes,No
BANK,VPB,BNOT_25_2_1_2,BNOT,Yes,No
BANK,VPB,BNOT_25_2_2,BNOT,Yes,No
BANK,VPB,BNOT_25_2_2_1,BNOT,Yes,No
BANK,VPB,BNOT_25_2_2_2,BNOT,Yes,No
BANK,VPB,BNOT_26_1_1,BNOT,Yes,No
BANK,VPB,BNOT_26_1_2,BNOT,Yes,No
BANK,VPB,BNOT_26_2_1,BNOT,Yes,No
BANK,VPB,BNOT_26_2_2,BNOT,Yes,No
BANK,VPB,BNOT_27_4,BNOT,Yes,No
BANK,VPB,BNOT_28,BNOT,Yes,No
BANK,VPB,BNOT_28_1,BNOT,Yes,No
BANK,VPB,BNOT_28_2,BNOT,Yes,No
BANK,VPB,BNOT_29,BNOT,Yes,No
BANK,VPB,BNOT_29_1,BNOT,Yes,No
BANK,VPB,BNOT_29_2,BNOT,Yes,No
BANK,VPB,BNOT_29_3,BNOT,Yes,No
BANK,VPB,BNOT_29_3_1,BNOT,Yes,No
BANK,VPB,BNOT_29_3_2,BNOT,Yes,No
BANK,VPB,BNOT_29_3_3,BNOT,Yes,No
BANK,VPB,BNOT_29_4,BNOT,Yes,No
BANK,VPB,BNOT_2_1,BNOT,Yes,No
BANK,VPB,BNOT_2_1_1,BNOT,Yes,No
BANK,VPB,BNOT_2_1_2,BNOT,Yes,No
BANK,VPB,BNOT_2_2,BNOT,Yes,No
BANK,VPB,BNOT_2_3,BNOT,Yes,No
BANK,VPB,BNOT_3,BNOT,Yes,No
BANK,VPB,BNOT_30,BNOT,Yes,No
BANK,VPB,BNOT_30_1,BNOT,Yes,No
BANK,VPB,BNOT_30_1_1,BNOT,Yes,No
BANK,VPB,BNOT_30_1_2,BNOT,Yes,No
BANK,VPB,BNOT_30_1_3,BNOT,Yes,No
BANK,VPB,BNOT_30_1_4,BNOT,Yes,No
BANK,VPB,BNOT_30_2,BNOT,Yes,No
BANK,VPB,BNOT_30_2_1,BNOT,Yes,No
BANK,VPB,BNOT_30_2_2,BNOT,Yes,No
BANK,VPB,BNOT_31_4,BNOT,Yes,No
BANK,VPB,BNOT_31_6,BNOT,Yes,No
BANK,VPB,BNOT_32_4,BNOT,Yes,No
BANK,VPB,BNOT_33_1,BNOT,Yes,No
BANK,VPB,BNOT_33_2,BNOT,Yes,No
BANK,VPB,BNOT_34_3,BNOT,Yes,No
BANK,VPB,BNOT_35_3,BNOT,Yes,No
BANK,VPB,BNOT_36,BNOT,Yes,No
BANK,VPB,BNOT_36_1,BNOT,Yes,No
BANK,VPB,BNOT_36_1_1,BNOT,Yes,No
BANK,VPB,BNOT_36_1_2,BNOT,Yes,No
BANK,VPB,BNOT_36_1_3,BNOT,Yes,No
BANK,VPB,BNOT_36_2,BNOT,Yes,No
BANK,VPB,BNOT_36_3,BNOT,Yes,No
BANK,VPB,BNOT_37_4_1,BNOT,Yes,No
BANK,VPB,BNOT_37_4_2,BNOT,Yes,No
BANK,VPB,BNOT_38,BNOT,Yes,No
BANK,VPB,BNOT_38_1,BNOT,Yes,No
BANK,VPB,BNOT_38_2,BNOT,Yes,No
BANK,VPB,BNOT_39,BNOT,Yes,No
BANK,VPB,BNOT_39_1,BNOT,Yes,No
BANK,VPB,BNOT_39_2,BNOT,Yes,No
BANK,VPB,BNOT_39_3,BNOT,Yes,No
BANK,VPB,BNOT_39_4,BNOT,Yes,No
BANK,VPB,BNOT_39_5,BNOT,Yes,No
BANK,VPB,BNOT_3_1,BNOT,Yes,No
BANK,VPB,BNOT_3_1_1,BNOT,Yes,No
BANK,VPB,BNOT_3_1_1_1,BNOT,Yes,No
BANK,VPB,BNOT_3_1_1_2,BNOT,Yes,No
BANK,VPB,BNOT_3_1_2,BNOT,Yes,No
BANK,VPB,BNOT_3_1_2_1,BNOT,Yes,No
BANK,VPB,BNOT_3_1_2_2,BNOT,Yes,No
BANK,VPB,BNOT_3_1_2_3,BNOT,Yes,No
BANK,VPB,BNOT_3_2,BNOT,Yes,No
BANK,VPB,BNOT_3_2_1,BNOT,Yes,No
BANK,VPB,BNOT_3_2_1_1,BNOT,Yes,No
BANK,VPB,BNOT_3_2_2,BNOT,Yes,No
