,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,BCFI_1,BCFI_2,BCFI_3,BCFI_4,BCFI_5,BCFI_6,BCFI_7,BCFI_8,BCFI_9,BCFI_10,BCFI_10A,BCFI_10B,BCFI_11,BCFI_12,BCFI_13,BCFI_14,BCFI_15,BCFI_16,BCFI_17,BCFI_18,BCFI_19,BCFI_20,BCFI_21,BCFI_22,BCFI_23,BCFI_24,BCFI_25,BCFI_25A,BCFI_26,BCFI_27,BCFI_27A,BCFI_27B,BCFI_28,BCFI_29,BCFI_30,BCFI_31,BCFI_32,BCFI_33,BCFI_34,BCFI_35,BCFI_36,BCFI_36B,BCFI_37,BCFI_38,BCFI_39,BCFI_40,BCFI_41,BCFI_42,BCFI_43,BCFI_44,BCFI_45,BCFI_46,BCFI_47,CREATED_DATE,UPDATED_DATE
0,2021-12-31,,Y,MBB,Y,12,,,,,,,,,,,21229572000000.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16 23:27:35.560249,2024-10-16 23:27:35.560249
1,2018-12-31,,Y,ABB,Y,12,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16 23:27:35.560249,2025-06-06 16:22:34.701101
2,2020-12-31,,Y,AGRB,Y,12,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16 23:27:35.560249,2025-06-06 16:22:34.701101
3,2019-12-31,,Y,AGRB,Y,12,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16 23:27:35.560249,2025-06-06 16:22:34.701101
