,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,ICFD_1,ICFD_7,ICFD_8,ICFD_801,ICFD_9,ICFD_901,ICFD_902,ICFD_20,ICFD_25,ICFD_23,ICFD_231,ICFD_232,ICFD_24,ICFD_21,ICFD_22,ICFD_221,ICFD_222,ICFD_30,ICFD_32,ICFD_36,ICFD_31,ICFD_34,ICFD_341,ICFD_342,ICFD_35,ICFD_40,ICFD_50,ICFD_60,ICFD_601,ICFD_70,ICFD_2,ICFD_3,ICFD_4,ICFD_5,ICFD_6,ICFD_10,ICFD_11,ICFD_33,CREATED_DATE,UPDATED_DATE
12,2018-06-30,,Q,BMI,Y,3,,,,0.0,-23985686528.0,0.0,636319825920.0,113723834368.0,-2795909888.0,40867848192.0,-741435637760.0,590926774272.0,0.0,0.0,49962643456.0,,,-62474268672.0,0.0,0.0,0.0,0.0,0.0,-91155816448.0,,-91155816448.0,-39906246656.0,348134866944.0,843976896.0,309072592896.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
13,2023-03-31,2023-04-26,Q,PGI,N,0,,-482430798523.0,-175399428253.0,,-10516340007.0,43097921543.0,-146843412409.0,127614466673.0,-16657522067.0,,-515000000000.0,370000000000.0,,,47596462320.0,,,-114061059747.0,,-66871474290.0,49239159406.0,-41001717177.0,,,,-58634032061.0,-45080625135.0,109294156158.0,-14237598.0,64199293425.0,,,899706524322.0,,,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
14,2018-12-31,,Y,VNAI,Y,12,1143498308506.0,-1042279086406.0,-124876842788.0,-928420996.0,-2086904695.0,52250798708.0,-123237059650.0,-97659207321.0,-32500000.0,283468859.0,-790000000000.0,703875950000.0,-35000000000.0,52930217000.0,78974507153.0,0.0,0.0,11031643012.0,0.0,0.0,80000000000.0,-159546608317.0,0.0,-14800000000.0,0.0,-94346608317.0,-180974172626.0,288666117694.0,225606121.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
15,2022-12-31,2023-03-18,Y,PGI,Y,0,,-2546526443493.0,-558154705960.0,,-59243714576.0,276631426179.0,-387733041024.0,287685012404.0,-53782857722.0,273647609.0,-1692081709733.0,1416315000000.0,,6857046900.0,195105578930.0,,,-127313294016.0,,,,,-151144947160.0,,,-151144947160.0,9226771228.0,100709440846.0,-642055916.0,109294156158.0,,,3562711491278.0,,,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
16,2019-03-31,,Q,BMI,N,3,,,,-15247400.0,0.0,0.0,-24051398656.0,21163399168.0,-1571070976.0,256472720.0,139769298944.0,0.0,0.0,0.0,26996559872.0,,,165451251712.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,186614644736.0,161392312320.0,1274992384.0,349281943552.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
17,2022-12-31,,Q,ABI,N,3,544971118111.0,-393325733688.0,-62297598132.0,0.0,-16178592086.0,2596680851.0,-36258143253.0,39507731803.0,-2394599226.0,83636363.0,-719049000000.0,589000000000.0,364049000000.0,-297000000000.0,38416209658.0,0.0,0.0,-26894753205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12612978598.0,77023797683.0,0.0,89636776281.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
18,2022-03-31,,Q,MIG,N,3,755990089459.0,-600972020394.0,-154273768454.0,-548449.0,-15006196897.0,145614502224.0,-105657689554.0,25694367935.0,-2086215000.0,0.0,-644000000000.0,622831878683.0,0.0,0.0,48727335456.0,0.0,0.0,25472999139.0,0.0,0.0,0.0,0.0,0.0,-232085000.0,0.0,-232085000.0,50935282074.0,8612679254.0,0.0,59547961328.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
19,2023-09-30,,Q,PRE,N,3,316174344999.0,-19951786173.0,-7085360579.0,-4058697503.0,-11409040060.0,486471085.0,-196356993040.0,77798938729.0,-232209000.0,0.0,0.0,0.0,-892387779146.0,201591800000.0,14794017663.0,0.0,0.0,-676234170483.0,3188869248.0,0.0,145231492811.0,-170034149294.0,0.0,-14487487252.0,0.0,-36101274487.0,-634536506241.0,653696926554.0,153903685.0,19314323998.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
20,2020-03-31,,Q,ABI,N,3,465901944910.0,-265776563160.0,-79271778109.0,0.0,-8829146438.0,2119198711.0,-33711309410.0,80432346504.0,-9222283183.0,533636364.0,-55000000000.0,42000000000.0,0.0,0.0,19669256900.0,0.0,0.0,-2019389919.0,0.0,0.0,0.0,0.0,0.0,-45325440000.0,0.0,-45325440000.0,33087516585.0,47694393644.0,0.0,80781910229.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
21,2021-03-31,,Q,MIG,N,3,777793437350.0,-660530149805.0,-177420464187.0,-35260274.0,-20489898546.0,136976090480.0,-270834777699.0,-214541022681.0,-591000000.0,0.0,-360000000000.0,533000000000.0,0.0,0.0,70965120485.0,0.0,0.0,243374120485.0,0.0,0.0,33000000000.0,-33000000000.0,0.0,-6170049.0,0.0,-6170049.0,28826927755.0,12086000766.0,0.0,40912928521.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
22,2019-09-30,,Q,ABI,N,3,-851970908552.0,1709016196536.0,-544478699946.0,-194486277994.0,-17795263853.0,707265318.0,-32807292951.0,68185018558.0,0.0,0.0,-163000000000.0,87000000000.0,0.0,0.0,29674591785.0,0.0,0.0,-46325408215.0,0.0,0.0,0.0,0.0,0.0,-23420400000.0,0.0,-23420400000.0,-1560789657.0,77981236940.0,0.0,76420447283.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
23,2019-12-31,,Q,PGI,N,3,943234576301.0,-661247494821.0,-111269489702.0,0.0,-5594526338.0,93486667098.0,-185320428837.0,73289303701.0,-6421913988.0,58081818.0,-375780000000.0,262886418784.0,0.0,0.0,50276153688.0,0.0,0.0,-68981259698.0,0.0,-9506233942.0,0.0,0.0,0.0,-1105202436.0,0.0,-10611436378.0,-6303392375.0,107177072339.0,-56650912.0,100817029052.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
