,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,IIS_01,IIS_011,IIS_012,IIS_013,IIS_02,IIS_021,IIS_022,IIS_023,IIS_024,IIS_025,IIS_03,IIS_04,IIS_041,IIS_042,IIS_043,IIS_044,IIS_045,IIS_10,IIS_11,IIS_111,IIS_112,IIS_121,IIS_122,IIS_123,IIS_12,IIS_124,IIS_125,IIS_126,IIS_13,IIS_14,IIS_15,IIS_161,IIS_162,IIS_17,IIS_171,IIS_172,IIS_173,IIS_174,IIS_175,IIS_176,IIS_177,IIS_178,IIS_179,IIS_1710,IIS_1711,IIS_18,IIS_19,IIS_192,IIS_202,IIS_212,IIS_193,IIS_203,IIS_213,IIS_25,IIS_26,IIS_261,IIS_262,IIS_263,IIS_301,IIS_302,IIS_303,IIS_304,IIS_305,IIS_22,IIS_23,IIS_306,IIS_24,IIS_31,IIS_32,IIS_40,IIS_401,IIS_50,IIS_501,IIS_51,IIS_52,IIS_521,IIS_60,IIS_61,IIS_62,IIS_70,IIS_191,IIS_201,IIS_211,IIS_022023,CREATED_DATE,UPDATED_DATE
579,2023-12-31,2025-01-15,Y,GROUPAMA,Y,0,47333662107.0,84427430229.0,443471021.0,-37537239143.0,-3476674841.0,-3476674841.0,,,,,43856987266.0,358623134.0,336672571.0,21950563.0,,,,44215610400.0,,,,,,,,,,,-7989607400.0,-74232379.0,-19737672851.0,,-813942264.0,-9159250717.0,,-1817847446.0,,,,,,-7341403271.0,,,,-29710865832.0,14504744568.0,,,,,,,,-40173915991.0,,,,-2669121633.0,,,,,23036506644.0,-36456854.0,,23000049790.0,7251210205.0,-2694238993.0,4556971212.0,,1887849579.0,,,,,1887849579.0,,1887849579.0,,,,,,2025-01-17 16:19:18.871299,2025-06-06 16:24:43.242694
580,2023-12-31,2024-04-24,Y,CATHAYLIFE,Y,0,2860631952000.0,2859177181000.0,,1454771000.0,-58557443467.0,,,,,,2802074508533.0,38450384169.0,11284014894.0,27166369275.0,,,,2840524892702.0,,,,,,,23126805628.0,,,,-1406457992963.0,,-1957261669608.0,,,-305901251440.0,,,,,,,,,,,,-2263162921048.0,577361971654.0,,,,,,,-555121765068.0,-437643818774.0,,,,1673002633139.0,,,,,2041257337675.0,47148907652.0,,2088406245327.0,9204525763.0,,9204525763.0,,1682207158902.0,,-237447175905.0,,-237447175905.0,1444759982997.0,,1444759982997.0,,,,,,2025-01-17 16:19:18.871299,2025-06-17 11:46:19.502744
581,2023-12-31,2025-01-15,Y,TOANCAU,Y,0,,,,,,,,,,,,,,,,,,1587393804120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1267622893482.0,319770910638.0,,,,,,,,-316287877302.0,,,,89372482652.0,,,,,89255454890.0,-3366005574.0,,85889449316.0,6198550242.0,-1359277026.0,4839273216.0,,94211755868.0,,,,-20271364594.0,73940391274.0,,73940391274.0,1590.0,,,,,2025-01-17 16:19:18.871299,2025-06-06 16:24:43.242694
582,2022-12-31,2025-01-15,Y,TOANCAU,Y,0,,,,,,,,,,,,,,,,,,1959151198117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1600374338388.0,358776859729.0,,,,,,,,-337511654410.0,,,,80022939017.0,,,,,61400257691.0,-2642523993.0,,58757733698.0,249968207.0,-881132247.0,-631164040.0,,79391774977.0,,,,-16308142261.0,63083632716.0,,63083632716.0,1357.0,,,,,2025-01-17 16:19:18.871299,2025-06-06 16:24:43.242694
583,2023-06-30,2025-01-15,S,TOANCAU,Y,0,704320202726.0,790107721659.0,4709861718.0,-90497380651.0,-232553711477.0,-257704279116.0,,,,,471766491249.0,184377882789.0,183909741699.0,468141090.0,,,,656144374038.0,,,445025120.0,,,,8914508591.0,,,,10148018035.0,-6128855633.0,-44198134524.0,,-5371133043.0,-444047635640.0,,-105415213419.0,,,,,,-338632422221.0,,,,-493616903207.0,162527470831.0,,,,,,,,-165506186922.0,,,,41242183003.0,,,,,44261248289.0,-40349195.0,,44220899094.0,231844321.0,-435281766.0,-203437445.0,,41038745558.0,,-7963349305.0,,-7963349305.0,33075396253.0,,33075396253.0,711.0,,,,,2025-01-17 16:19:18.871299,2025-06-17 11:46:19.502744
584,2024-12-31,2025-03-12,Y,ABI,Y,0,2392214851354.0,2301313340533.0,130186642615.0,-39285131794.0,-338937596302.0,-374851917747.0,,,,,2053277255052.0,100007434704.0,99924094769.0,83339935.0,,,,2153284689756.0,,,5222130409.0,,,,93213258200.0,,,,-193138440138.0,158468344852.0,-721929784171.0,,-20566480653.0,-716358084227.0,,-376075493227.0,,,,,,-340282591000.0,,,,-1458854349051.0,694430340705.0,,,,,,,,-588722150970.0,,,,255532216318.0,,,,,149934837164.0,-110810581.0,,149824026583.0,1316433124.0,-704344544.0,612088580.0,,256144304898.0,,-51427157920.0,,-51427157920.0,204717146978.0,,204717146978.0,2005.0,,,,,2025-01-20 18:06:33.671331,2025-06-17 11:46:19.502744
585,2024-12-31,,Q,ABI,Y,3,652833518761.0,674384525119.0,58446492539.0,-79997498897.0,-118896546513.0,-122781394264.0,3884847751.0,0.0,0.0,0.0,533936972248.0,28468645112.0,28446119244.0,22525868.0,0.0,0.0,22525868.0,562405617360.0,-244459057425.0,0.0,3159754386.0,0.0,3159754386.0,0.0,41229156389.0,-200070146650.0,0.0,94494542733.0,1521365649.0,92973177084.0,-105575603917.0,0.0,-6100496235.0,-240438192953.0,-240438192953.0,-105565427962.0,0.0,0.0,0.0,0.0,0.0,-134872764991.0,0.0,0.0,0.0,-352114293105.0,210291324255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152033509720.0,-152033509720.0,0.0,0.0,58257814535.0,0.0,58257814535.0,0.0,0.0,35064268390.0,-36741580.0,0.0,35027526810.0,249178073.0,-152236889.0,96941184.0,0.0,93382282529.0,0.0,-18706766238.0,0.0,-18706766238.0,74675516291.0,0.0,74675516291.0,0.0,0.0,0.0,0.0,3884847751.0,2025-01-20 18:06:33.671331,2025-06-06 16:24:43.242694
586,2025-03-31,2025-04-29,Q,BHI,N,0,767665259541.0,750421340008.0,19000217658.0,-1756298125.0,-114708894343.0,-145137368068.0,,,,,652956365198.0,39228041185.0,36153619125.0,3074422060.0,,,,692184406383.0,,,1076914693.0,,,,47026139342.0,,,,3817220535.0,-24249618939.0,-278309119946.0,,-5974726602.0,-381202466537.0,,-53466764664.0,,,,,,-327735701873.0,,,,-665486313085.0,26698093298.0,,,,,,,,-54349424642.0,,,,-8037336966.0,,,,,28869683098.0,-9255688720.0,,19613994378.0,3288596997.0,-1938604262.0,1349992735.0,,-6687344231.0,,,-990870084.0,-990870084.0,-7678214315.0,-8114270837.0,436056522.0,-81.0,,,,,2025-04-29 11:45:35.083080,2025-08-26 23:18:40.155198
587,2025-03-31,2025-04-29,Q,BIC,N,0,1283481795596.0,1252267017888.0,20216308731.0,10998468977.0,-338050421184.0,-328381729256.0,,,,,945431374412.0,87767367590.0,52547760212.0,35219607378.0,,,,1033198742002.0,,,3742596043.0,,,,107778771724.0,,,,57887237449.0,-103647578671.0,-257959083343.0,,-9441036171.0,-490712792315.0,,-149795751708.0,,,,,,-340917040607.0,,,,-758112911829.0,275085830173.0,,,,,,,,-239202130328.0,,,,195378343971.0,,,,,170823127840.0,-11328483714.0,,159494644126.0,347979094.0,-1599569636.0,-1251590542.0,,194126753429.0,,-38546079013.0,,-38546079013.0,155580674416.0,1451980121.0,154128694295.0,,,,,,2025-04-29 11:45:35.083080,2025-08-26 23:18:40.155198
588,2025-06-30,2025-08-15,S,MIG,Y,0,2640694704774.0,2632095037105.0,45382978925.0,-36783311256.0,-1335764967827.0,-1300149477750.0,,,,,1304929736947.0,668137178344.0,662188535137.0,5948643207.0,,,,1973066915291.0,,,329345398.0,,,,404242556974.0,,,,139415793895.0,-114987536704.0,-358282045545.0,,-13773285384.0,-1241707268773.0,-1241707268773.0,-206097083006.0,,,,,,-1035610185767.0,,,,-1613762599702.0,359304315589.0,,,,,,,,-276980298044.0,,,,231645509100.0,,,,,155164405331.0,-5842913776.0,,149321491555.0,421102228.0,-585220896.0,-164118668.0,,231481390432.0,,-47029342245.0,34823462.0,-46994518783.0,184486871649.0,,184486871649.0,937.0,,,,,2025-07-22 20:47:45.402919,2025-08-18 07:05:50.576758
