,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,SIS_20,SIS_1,SIS_1_1,SIS_1_2,SIS_1_3,SIS_2,SIS_3,SIS_4,SIS_5,SIS_6,SIS_7_1,SIS_7_2,SIS_8,SIS_8_1,SIS_9,SIS_9_1,SIS_9_2,SIS_10,SIS_11,SIS_11_1,SIS_11_2,SIS_40,SIS_21,SIS_21_1,SIS_21_2,SIS_21_3,SIS_22,SIS_22_1,SIS_23,SIS_24,SIS_25,SIS_26,SIS_27,SIS_28,SIS_29,SIS_29_1,SIS_30,SIS_31,SIS_32,SIS_32_1,SIS_50_1,SIS_50,SIS_41,SIS_42,SIS_43,SIS_44,SIS_60,SIS_51,SIS_52,SIS_53,SIS_54,SIS_55,SIS_56,SIS_61,SIS_62,SIS_70,SIS_71,SIS_72,SIS_80,SIS_80_1,SIS_90,SIS_91,SIS_92,SIS_100,SIS_100_1,SIS_100_2,SIS_200,SIS_201,SIS_202,SIS_203,SIS_203_1,SIS_301,SIS_302,SIS_303,SIS_304,SIS_305,SIS_306,SIS_307,SIS_400,SIS_401,SIS_402,SIS_500,SIS_501,SIS_502,SIS_1_4,SIS_21_4,SIS_300,CREATED_DATE,UPDATED_DATE
2305,2025-09-30,2025-10-17,Q,VUA,N,0,1082925655.0,25188391.0,25188391.0,,,85558585.0,,,,780829370.0,,,,,191349309.0,,,,,,,-2479011973.0,-253441470.0,-253441470.0,,,,,,,,-1782182.0,-2016336052.0,,,,-137905520.0,-69546749.0,,,,101740940.0,,101740940.0,,,,,,,,,,,-2582362907.0,-3876708285.0,,-183234950.0,-183234950.0,,-4059943235.0,-4059943235.0,,,,,-4059943235.0,-4059943235.0,,,,3381592898.0,,,,,,,-678350337.0,-678350337.0,,-120.0,-120.0,,,,3381592898.0,2025-10-17 16:36:36.539541,2025-10-21 23:06:35.578310
2306,2023-06-30,2023-07-20,Q,GTJA,N,0,19777500422.0,46450.0,,26650.0,19800.0,6588931506.0,9587666844.0,,,3322599983.0,,,,,187346548.0,,,90909091.0,,,,-2987115543.0,86960.0,,86960.0,,,,,1359106766.0,,,-4119410489.0,,,,-226898780.0,,,,,1618500.0,,1618500.0,,,-410598630.0,,-410598630.0,,,,,,-6332127574.0,10049277175.0,,,,,10049277175.0,10049163565.0,113610.0,-1761885085.0,-1761885085.0,,8287392090.0,8287392090.0,,,,,,,,,,,8287392090.0,8287392090.0,,120.0,120.0,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2307,2023-03-31,2023-04-19,Q,HDBS,N,0,185373772637.0,144299030915.0,144299030915.0,,,5681095891.0,4928583647.0,,,1372650281.0,,,,,29092411903.0,,,,,,,-100058990761.0,-27591459760.0,-27591459760.0,,,,,,,,-67898774634.0,-2659359034.0,-411835352.0,,,-1497561981.0,,,,,985715912.0,,985715912.0,,,-33115478645.0,,-33115478645.0,,,,,,-9141557968.0,44043461175.0,,,,,44043461175.0,44043461175.0,,-8808692235.0,-8808692235.0,,35234768940.0,35234768940.0,,,,,,,,,,,35234768940.0,35234768940.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2308,2023-03-31,2023-04-19,Q,SBSI,N,0,4977626718.0,388101700.0,388101700.0,,,,1283746316.0,1111561644.0,,946868086.0,,,,,598744427.0,,,195634545.0,,,,-5407051793.0,-816958825.0,-816958825.0,,,,,,,,-107624697.0,-3186041619.0,,-141781689.0,,-368191661.0,-786453302.0,,,,58074727.0,,58074727.0,,,-455362318.0,,-455362318.0,,,,,,-3134033364.0,-3960746030.0,55561644.0,-69673999.0,-14112355.0,,-3974858385.0,-3974858385.0,,,,,-3974858385.0,-3974858385.0,,,,-2849121625.0,,,,,,,-6823980010.0,-6823980010.0,,,-117.0,,,,-2849121625.0,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2309,2021-12-31,2022-03-03,Y,VIS,Y,0,83915441121.0,1935227825.0,1758500000.0,,176727825.0,,15101725969.0,,,40876072410.0,,,,,5457860250.0,,,14111039999.0,6433514668.0,,,-36026131215.0,1703459001.0,,1703459001.0,,,,,1902620857.0,,,-27449151855.0,,,,-1379174828.0,-8203998354.0,-2599886036.0,,,851362322.0,121780540.0,729581782.0,,,-2968100795.0,-413984210.0,-2554116585.0,,,,,,-14303918973.0,31468652460.0,6869332.0,-979419700.0,-972550368.0,,30496102092.0,28792643091.0,1703459001.0,-5459142208.0,-5459142208.0,,25036959884.0,25036959884.0,,,,,,,,,,,25036959884.0,25036959884.0,,,1419.0,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2310,2022-06-30,2022-07-18,Q,ASEANSEC,N,0,196726631402.0,129264267925.0,28653944000.0,94903659500.0,5706664425.0,22460633482.0,4796494441.0,,,35991394302.0,,,,,1073621594.0,,,2878995481.0,261224177.0,,,-185312907140.0,-177528945890.0,,-177528945890.0,,,,,,,-248284121.0,-5574335563.0,,,,-856302830.0,-910453495.0,-194585241.0,,,-210603982.0,,210603982.0,,,-6196246279.0,-2280000.0,-6193966279.0,,,,,,-6819212797.0,-1391130832.0,3329976.0,-6215994.0,-2886018.0,,-1394016850.0,81231269540.0,-82625286390.0,1418893056.0,-15106164222.0,16525057278.0,24876206.0,24876206.0,,,,,,,,,,,24876206.0,24876206.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2311,2022-12-31,2023-03-15,Y,FNS,Y,0,173835414681.0,58886824304.0,26136751505.0,31832994103.0,917078696.0,3854575346.0,54487358024.0,,,53985005271.0,,,,,1857467736.0,,,700250000.0,63934000.0,,,206594698342.0,162388058416.0,3294064656.0,159023085967.0,70907793.0,,,,1743528617.0,,1213769675.0,38667826876.0,,,,2102729798.0,478784960.0,,,,17675865252.0,16995528063.0,680337189.0,,,29249720144.0,10344585388.0,18905134756.0,,,,,,-32239481141.0,-76572619694.0,13750000.0,,13750000.0,,-76558869694.0,50631222170.0,-127190091864.0,2282902283.0,-10018768857.0,12301671140.0,-74275967411.0,-74275967411.0,,,,,,,,,,,-74275967411.0,-74275967411.0,,-1604.0,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2312,2022-06-30,2022-07-18,Q,GMC,N,0,15060354923.0,14907242114.0,14907206164.0,23950.0,12000.0,-25041096.0,2017011.0,,,120152819.0,,,,,49600530.0,,,,6383545.0,,,-989445549.0,-13319750.0,,-4319750.0,-9000000.0,,,,,,23746902.0,-231879616.0,,,,-276426218.0,,-491566867.0,,,25110726.0,,25110726.0,,,,,,,,,,,-6188269127.0,7907750973.0,60000000.0,-423270818.0,-363270818.0,,7544480155.0,7548775955.0,-4295800.0,-873627801.0,-873627801.0,,6670852354.0,6670852354.0,,,,,,,,,,,6670852354.0,6670852354.0,,,430.0,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2313,2022-12-31,2023-01-18,Q,YSVN,N,0,141465197972.0,30715085.0,23772725.0,6333541.0,608819.0,10505684932.0,84491082259.0,,,39667912395.0,,,60423678.0,,983039623.0,,,5726340000.0,,,,-89504495614.0,-46371332.0,-10347072.0,-36024260.0,,,,,-41816760146.0,,-557269.0,-42765016781.0,,,,-2112836050.0,-2762954036.0,,,,422694117.0,601457.0,422092660.0,,,-185522.0,-185522.0,,,,,,,-28103171595.0,24280039358.0,102758680.0,-634063125.0,-531304445.0,,23748734913.0,23778425632.0,-29690719.0,-5448017258.0,-5454261950.0,6244692.0,18300717655.0,18300717655.0,,,,,,,,,,,18300717655.0,18300717655.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2314,2022-09-30,2022-10-19,Q,AIS,N,0,66046292484.0,24451610492.0,24380927162.0,68841280.0,1842050.0,,6569059084.0,25130802121.0,,9234302048.0,,,,,160518739.0,,,500000000.0,,,,-13152527567.0,-5171399095.0,-5079742485.0,-91656610.0,,,,,,,-715867304.0,-7052161961.0,,,,-213099207.0,,,,,170378735.0,,82426700.0,,87952035.0,,,,,,,,,-11134667476.0,41929476176.0,3940302.0,,3940302.0,,41933416478.0,41956231808.0,-22815330.0,8386314886.0,-8386314886.0,,33547101592.0,33547101592.0,,,,,,,,,,,33547101592.0,33547101592.0,,,259.0,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
