,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,BCFD_1,BCFD_2,BCFD_3,BCFD_4A,BCFD_4B,BCFD_5,BCFD_6,BCFD_7,BCFD_8,BCFD_9,BCFD_9A,BCFD_10,BCFD_11,BCFD_12,BCFD_13,BCFD_13A,BCFD_14,BCFD_15,BCFD_16,BCFD_17,BCFD_18,BCFD_21,BCFD_20,BCFD_19,BCFD_19A,BCFD_22,BCFD_23A,BCFD_23B,BCFD_23,BCFD_23C,BCFD_24,BCFD_25,BCFD_26,BCFD_27,BCFD_28,BCFD_29,BCFD_30,BCFD_31,BCFD_32,BCFD_33,BCFD_34,BCFD_35,BCFD_36,BCFD_37,BCFD_38,BCFD_39,BCFD_40,BCFD_41,BCFD_42,BCFD_43,BCFD_44,BCFD_45,BCFD_4,CREATED_DATE,UPDATED_DATE
10,2019-06-30,,Q,TCB,Y,3,6108199000000.0,-2442644000000.0,621170000000.0,0.0,286926000000.0,258692000000.0,267011000000.0,-1022721000000.0,-517741000000.0,3558892000000.0,0.0,2398465000000.0,-10330607000000.0,0.0,-21596730000000.0,0.0,-90853000000.0,-1743543000000.0,363825000000.0,18320143000000.0,12284291000000.0,-22650000000.0,0.0,-223727000000.0,0.0,801365000000.0,3718871000000.0,0.0,-2041000000.0,0.0,3716830000000.0,-109638000000.0,799000000.0,0.0,0.0,0.0,0.0,0.0,0.0,146000000.0,-108693000000.0,-58201000000.0,0.0,0.0,0.0,0.0,70338000000.0,12137000000.0,3620274000000.0,43521850000000.0,-244000000.0,47141880000000.0,286926000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
11,2019-06-30,,Q,TPB,Y,3,2727075000000.0,-1441020000000.0,268620000000.0,241379000000.0,0.0,12804000000.0,6404000000.0,-797647000000.0,-107000000000.0,910615000000.0,0.0,660001000000.0,-3239051000000.0,-35839000000.0,-3759117000000.0,0.0,-356656000000.0,1023399000000.0,680103000000.0,-1088051000000.0,2960608000000.0,0.0,225996000000.0,2138692000000.0,808847000000.0,-450598000000.0,478949000000.0,0.0,0.0,0.0,478949000000.0,-74557000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74557000000.0,0.0,0.0,0.0,-7415000000.0,-627756000000.0,0.0,-635171000000.0,-230779000000.0,24688410000000.0,-38576000000.0,24419055000000.0,241379000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
12,2019-06-30,,Q,VAB,Y,3,1324280345145.0,-873228694825.0,-3908570231.0,2276179840.0,0.0,-47469482683.0,0.0,-146594237522.0,0.0,255355539724.0,0.0,-50000000000.0,-169589207750.0,2944720315.0,-1588876558113.0,0.0,0.0,180448584287.0,0.0,4401673449954.0,2586618632118.0,0.0,-2231653500.0,-167039273664.0,0.0,100704170521.0,5550008403892.0,0.0,0.0,0.0,5550008403892.0,-605825000.0,-6363636.0,0.0,0.0,0.0,0.0,0.0,0.0,260000000.0,-352188636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5549656215256.0,6003018180968.0,313288734.0,11552987684958.0,2276179840.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
13,2019-06-30,,Q,VBB,Y,3,1826363000000.0,-956869000000.0,7436000000.0,190995000000.0,0.0,27482000000.0,2804000000.0,-206555000000.0,0.0,891656000000.0,1334232000000.0,-3843804000000.0,1307605000000.0,-6468000000.0,-1766487000000.0,0.0,0.0,-1854224000000.0,-763000000.0,1364124000000.0,2006426000000.0,-1004000000.0,0.0,900000000000.0,0.0,256979000000.0,588272000000.0,0.0,0.0,0.0,588272000000.0,50243000000.0,51000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50294000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638566000000.0,5887598000000.0,-1170000000.0,6524994000000.0,190995000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
14,2019-06-30,,Q,VCB,Y,3,17130702000000.0,-7615683000000.0,1075384000000.0,0.0,777404000000.0,-26672000000.0,796941000000.0,-2684049000000.0,-1979742000000.0,7474285000000.0,0.0,-2422601000000.0,-12258210000000.0,-13600000000.0,-22416155000000.0,0.0,-822885000000.0,702687000000.0,492378000000.0,9527895000000.0,32952302000000.0,0.0,-1428000000.0,-9966000000.0,0.0,1419661000000.0,14624363000000.0,0.0,-238014000000.0,0.0,14386349000000.0,-252223000000.0,1943000000.0,-4544000000.0,0.0,0.0,0.0,0.0,95773000000.0,91523000000.0,-67528000000.0,-11000000.0,0.0,0.0,0.0,0.0,0.0,-11000000.0,14318810000000.0,195049351000000.0,0.0,209368161000000.0,777404000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
15,2019-06-30,,Q,VIB,Y,3,3242331000000.0,-1383965000000.0,416733000000.0,0.0,-37357000000.0,-213000000.0,53113000000.0,-732679000000.0,-162077000000.0,1395886000000.0,0.0,190728000000.0,-814354000000.0,89570000000.0,-12560192000000.0,0.0,-100490000000.0,-126018000000.0,528545000000.0,2066349000000.0,10490173000000.0,26826000000.0,-6973000000.0,4802209000000.0,0.0,-113545000000.0,5868714000000.0,0.0,0.0,0.0,5868714000000.0,-12283000000.0,83000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5856514000000.0,9905876000000.0,0.0,15762390000000.0,-37357000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
16,2019-06-30,,Q,VPB,Y,3,12115657000000.0,-3683121000000.0,467657000000.0,156762000000.0,0.0,29647000000.0,522219000000.0,-2703289000000.0,-373546000000.0,6531986000000.0,0.0,-1256379000000.0,3318378000000.0,-77623000000.0,-15176722000000.0,0.0,-3420651000000.0,-204087000000.0,1999096000000.0,5581182000000.0,9245656000000.0,1000000.0,-5303000000.0,6892613000000.0,0.0,-154638000000.0,13273509000000.0,0.0,0.0,0.0,13273509000000.0,-13341000000.0,1366000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11975000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13261534000000.0,13300275000000.0,0.0,26561809000000.0,156762000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
17,2019-09-30,,Q,ABB,N,3,1613718769440.0,-1324064684383.0,62573323406.0,211699952086.0,0.0,18755782533.0,15888566908.0,-312760638134.0,-86668472815.0,199142599041.0,0.0,-170251000002.0,-552085804161.0,-49213575281.0,-2190560964633.0,0.0,-232443415974.0,-702013212994.0,-1428331648516.0,-2193837415818.0,3220578292005.0,0.0,-7295517852.0,188690213000.0,0.0,350597255062.0,-3567024196123.0,0.0,30000000.0,0.0,-3566994196123.0,-24233129484.0,27898575.0,0.0,0.0,0.0,0.0,0.0,0.0,1967020000.0,-22238210909.0,393617260000.0,0.0,0.0,0.0,0.0,0.0,393617260000.0,-3195615147032.0,20161011000000.0,12304668.0,16965408157636.0,211699952086.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
18,2019-09-30,,Q,ACB,N,3,6832971000000.0,-3654370000000.0,519138000000.0,173651000000.0,0.0,12778000000.0,67908000000.0,-1598070000000.0,-364935000000.0,1989071000000.0,0.0,-134560000000.0,-6018422000000.0,-37740000000.0,-5347622000000.0,0.0,-30082000000.0,-65493000000.0,-794854000000.0,-3215805000000.0,6727182000000.0,0.0,154000000.0,2394000000000.0,0.0,-229646000000.0,-4763817000000.0,0.0,-164000000.0,0.0,-4763981000000.0,-114859000000.0,3985000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16957000000.0,-93917000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4857898000000.0,35937063000000.0,-18608000000.0,31060557000000.0,173651000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
19,2019-09-30,,Q,BAB,N,3,1314527000000.0,-1690118000000.0,11447000000.0,157216000000.0,0.0,-1571000000.0,41350000000.0,-220814000000.0,-36974000000.0,-424937000000.0,0.0,77697000000.0,1467025000000.0,249000000.0,-597164000000.0,0.0,-12898000000.0,-59151000000.0,23729000000.0,-901626000000.0,-1353967000000.0,0.0,0.0,-2694000000.0,0.0,21006000000.0,-1762731000000.0,0.0,0.0,0.0,-1762731000000.0,-6869000000.0,142000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2176000000.0,-4551000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1767282000000.0,9360754000000.0,0.0,7593472000000.0,157216000000.0,2024-10-16 23:27:35.370131,2024-10-16 23:27:35.370131
