,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,ICFI_1,ICFI_2,ICFI_201,ICFI_3,ICFI_4,ICFI_5,ICFI_6,ICFI_7,ICFI_8,ICFI_9,ICFI_901,ICFI_902,ICFI_903,ICFI_904,ICFI_905,ICFI_10,ICFI_11,ICFI_111,ICFI_112,ICFI_113,ICFI_114,ICFI_115,ICFI_12,ICFI_13,ICFI_14,ICFI_15,ICFI_16,ICFI_17,ICFI_20,ICFI_21,ICFI_22,ICFI_23,ICFI_24,ICFI_25,ICFI_26,ICFI_27,ICFI_30,ICFI_31,ICFI_32,ICFI_33,ICFI_34,ICFI_35,ICFI_36,ICFI_40,ICFI_50,ICFI_60,ICFI_61,ICFI_70,ICFI_6B,CREATED_DATE,UPDATED_DATE
10,2021-12-31,,Q,PTI,N,3,88737608648.0,1772060630.0,0.0,115929912777.0,0.0,-40268758742.0,4370792726.0,0.0,170541616039.0,-287621246.0,0.0,0.0,0.0,-287621246.0,0.0,-18335428258.0,10765439030.0,0.0,0.0,0.0,10765439030.0,0.0,-45661725425.0,107404831610.0,-4370792726.0,-30976213055.0,0.0,0.0,189080105969.0,2284206219.0,0.0,-65696732710.0,0.0,0.0,2576165933.0,24547906674.0,-36288453884.0,0.0,0.0,-247304000000.0,0.0,0.0,-257592798.0,-247561592798.0,-94769940713.0,247278177791.0,0.0,152508237078.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
11,2020-03-31,,Q,PVI,N,3,140074871778.0,20159470016.0,0.0,313673801792.0,13664311601.0,-171710751771.0,612074626.0,0.0,316473778042.0,40893363384.0,0.0,0.0,0.0,40893363384.0,0.0,-1244514459.0,205826460315.0,0.0,0.0,0.0,205826460315.0,0.0,-60241465524.0,-404413227375.0,-612074626.0,-53881971190.0,0.0,8648907.0,42808997474.0,-732278729.0,181355700.0,-2109286219700.0,2200000000000.0,0.0,0.0,126808132945.0,216970990216.0,0.0,-89000000.0,0.0,-12637349859.0,0.0,-9313739800.0,-22040089659.0,237739898031.0,492708558335.0,995983252.0,731444439618.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
12,2023-03-31,,Q,BVH,N,3,657200063290.0,49960488054.0,0.0,4842966833988.0,-1929968317.0,-3141405143055.0,522247487428.0,0.0,2929039761388.0,-707728826714.0,0.0,0.0,0.0,-707728826714.0,0.0,-15771194997.0,-92172240784.0,0.0,0.0,0.0,-92172240784.0,0.0,-59758213357.0,1303076515.0,-355130091502.0,-89631032447.0,0.0,-18145456265.0,1592005781837.0,-28328317468.0,185163637.0,-42192371333011.0,25341322945217.0,-90130728.0,0.0,2464648919754.0,-14414632752599.0,0.0,0.0,21712365085347.0,-8448388324521.0,0.0,0.0,13263976760826.0,441349790064.0,2206497560116.0,93414409.0,2647940764589.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
13,2022-12-31,,Y,BIC,Y,12,393797467645.0,8347266058.0,0.0,352762100647.0,6092080073.0,-262448301063.0,33023146.0,0.0,498583636506.0,-25668185898.0,0.0,0.0,0.0,-25668185898.0,0.0,61411360.0,147189381298.0,0.0,0.0,0.0,147189381298.0,0.0,-70787831263.0,22137889433.0,-33023146.0,-44884193021.0,0.0,-100202600042.0,426396485227.0,-10685083282.0,0.0,-5193682336039.0,4682851616775.0,0.0,0.0,274528877466.0,-246986925080.0,0.0,0.0,-7286068882.0,0.0,0.0,-175853667500.0,-183139736382.0,-3730176235.0,30488645615.0,2103119587.0,28861588967.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
14,2019-06-30,,Q,VASS,Y,3,36533141059.0,2608147438.0,0.0,-58448764976.0,522060.0,-462470383.0,3195222815.0,0.0,-16574201987.0,302854243319.0,0.0,0.0,0.0,302854243319.0,0.0,-184112097.0,-16216105948.0,0.0,0.0,0.0,-16216105948.0,0.0,32767962004.0,0.0,1833634702.0,0.0,0.0,0.0,304481419993.0,-380914691818.0,0.0,-92100000000.0,101900000000.0,-7505000000.0,7000000000.0,492470383.0,-371127221435.0,0.0,0.0,0.0,-3268965516.0,0.0,0.0,-3268965516.0,-69914766958.0,114440643771.0,-522060.0,44525354753.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
15,2020-06-30,,Q,PVI,Y,3,425203904472.0,19757128868.0,0.0,-188153783181.0,-3979606848.0,-170260766458.0,239506849.0,0.0,82806383702.0,-56557661033.0,0.0,0.0,0.0,-56557661033.0,0.0,562624595.0,778228765250.0,0.0,0.0,0.0,778228765250.0,0.0,-21482111035.0,-905500000025.0,-239506849.0,-30910556034.0,0.0,-1858248907.0,-154950310336.0,-10986077405.0,328953210.0,-770613780300.0,1238000000000.0,0.0,0.0,110052271257.0,566781366762.0,0.0,-233139265120.0,0.0,0.0,0.0,-3743970720.0,-236883235840.0,174947820586.0,731444439618.0,-1652343850.0,904739916354.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
16,2021-09-30,,Q,BIC,N,3,138323556519.0,1861951233.0,0.0,293782871040.0,52324468795.0,-145907883801.0,275342203.0,0.0,340660305989.0,-55774771573.0,0.0,0.0,0.0,-55774771573.0,0.0,-10016296.0,140999327891.0,0.0,0.0,0.0,140999327891.0,0.0,14526906981.0,8454634588.0,-275342203.0,-24063625099.0,21678731975.0,-367134046155.0,79062106098.0,58117575.0,467185156.0,447837543741.0,-614240114490.0,0.0,0.0,151765337553.0,-14111930465.0,0.0,0.0,0.0,12320000.0,0.0,-140688440400.0,-140676120400.0,-75725944767.0,154663959044.0,4689526181.0,83627540458.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
17,2021-12-31,,Y,VASS,Y,12,2157563425.0,9707927275.0,0.0,-15060377662.0,-51716177.0,-15182972715.0,11081449289.0,0.0,-7348126565.0,-130084465234.0,-130084465234.0,0.0,0.0,0.0,0.0,32174555.0,22066922836.0,22066922836.0,0.0,0.0,0.0,0.0,23684835068.0,0.0,-11081449289.0,0.0,0.0,0.0,-102730108629.0,-3273678182.0,127500002.0,-362540000000.0,269850000000.0,-3570000000.0,0.0,5931541686.0,-93474636494.0,0.0,0.0,21968597829.0,-21792458953.0,0.0,0.0,176138876.0,-196028606247.0,205168356482.0,51716177.0,9191466412.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
18,2020-06-30,,Q,VASS,Y,3,31274258920.0,2409207795.0,0.0,-52597788398.0,-10484238.0,-3817050309.0,5382811327.0,0.0,-17359044903.0,-18337263151.0,0.0,0.0,0.0,-18337263151.0,0.0,90683144.0,-167043485880.0,0.0,0.0,0.0,-167043485880.0,0.0,6973816344.0,0.0,-5382811327.0,0.0,0.0,0.0,-201058105773.0,-18367451560.0,0.0,-17250000000.0,36109020000.0,-450000000.0,0.0,4258030309.0,4299598749.0,200000000000.0,0.0,-70105983145.0,0.0,0.0,0.0,129894016855.0,-66864490169.0,143664492085.0,10484238.0,76810486154.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
19,2019-09-30,,Q,PVI,N,3,202472492780.0,22185402219.0,0.0,107395210183.0,1691134156.0,-168321042077.0,0.0,0.0,165423197261.0,151262905716.0,0.0,0.0,0.0,151262905716.0,0.0,-8026754746.0,541773006954.0,0.0,0.0,0.0,541773006954.0,0.0,-16395859945.0,-180590960164.0,0.0,-73800701561.0,0.0,-385182996.0,579259650519.0,-5481042563.0,5454545.0,-2648991800000.0,2597496800000.0,0.0,0.0,239929337367.0,182958749349.0,0.0,0.0,0.0,0.0,0.0,-479449368501.0,-479449368501.0,282769031367.0,826102935319.0,-772478884.0,1108099487802.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
